job_title,company_name,experience,salary,location,job_description,skills,url
Custom Software Engineer,Accenture,15 - 20 years,Not Disclosed,Bengaluru,"About The Role Project Role : Custom Software Engineer Project Role Description : Develop custom software solutions to design, code, and enhance components across systems or applications. Use modern frameworks and agile practices to deliver scalable, high-performing solutions tailored to specific business needs. Must have skills : Python (Programming Language) Good to have skills : NA Minimum 7.5 year(s) of experience is required Educational Qualification : 15 years full time education Summary :As a Custom Software Engineer, you will develop custom software solutions to design, code, and enhance components across systems or applications. Your typical day will involve collaborating with cross-functional teams to understand business requirements, utilizing modern frameworks and agile practices to create scalable and high-performing solutions that meet specific business needs. You will engage in problem-solving activities, ensuring that the software developed aligns with the overall project goals and delivers value to stakeholders. Roles & Responsibilities:- Expected to be an SME.- Collaborate and manage the team to perform.- Responsible for team decisions.- Engage with multiple teams and contribute on key decisions.- Provide solutions to problems for their immediate team and across multiple teams.- Mentor junior team members to enhance their skills and knowledge.- Continuously evaluate and improve development processes to increase efficiency. Professional & Technical Skills: - Must To Have Skills: Proficiency in Python (Programming Language).- Strong understanding of software development life cycle methodologies.- Experience with modern frameworks and libraries relevant to Python.- Familiarity with agile practices and methodologies.- Ability to troubleshoot and debug complex software issues. Additional Information:- The candidate should have minimum 7.5 years of experience in Python (Programming Language).- This position is based at our Bengaluru office.- A 15 years full time education is required. Qualification 15 years full time education","python, software development life cycle, java, software engineering, agile, c, rest, css, c, project management, software development, hibernate, javascript, jquery, sql server, sql, spring, aspnet, computer hardware, jee, net, html, mysql, ",https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-bengaluru-15-to-20-years-100925935645
Software Engineer  Dbaas Serverless,Ibm,4 - 6 years,Not Disclosed,Bengaluru,"Astra DB is a wildly successful cloud-native database as a service (DBaaS) powered by Apache Cassandra. We're looking for a software engineer to join our Astra Platform Infrastructure team. Our team owns the foundational infrastructure and services that enable customers to launch and manage their Astra DB instances. What you will do: ? Design, develop, and maintain a wide variety of software and cloud infrastructure for DataStax's Astra platform infrastructure, providing a ""platform as a service"" to internal customers, and providing a seamless database and streaming management experience to DataStax's cloud customers. ? Design, develop, and maintain software microservices, primarily for use to provision and manage cloud databases. ? Codify best practices by creating tools, APIs and SDKs, and utilities which enable and accelerate the development of our infrastructure and distributed services. ? Participate in on-call activities, acting as a secondary on-call support person for Production Engineering teams who require assistance with complex production issues. ? Is passionate about software quality, improving the design/development process, and building highly available systems ? Enjoys a highly diverse, collaborative, and cross-functional environment ? Stays abreast of modern technologies and practices especially in cloud native space ? Fosters long-term team success and contributes to a healthy work environment. Required education Bachelor's Degree Preferred education Master's Degree Required technical and professional expertise ?4-6 years of relevant experience ?Solid experience with / proficiency with public cloud infrastructure - at least one of Amazon Web Services, Google Cloud Platform, or Microsoft Azure. ?Expertise in Kubernetes, including configuration, usage as an application platform, maintenance, scaling, networking and troubleshooting. ?Solid understanding of Kubernetes and cloud network concepts such as ingress controllers, CNI, VPCs, NAT, and Private Link ?4-6+ years of development experience with programming languages such as Go/Python/Java (preferably Go) ?Experience building highly scalable distributed systems on Kubernetes ?Expertise in infrastructure configuration management tools like Terraform and Crossplane.. ?Experience with Kubernetes development using tools and libraries like operator-sdk, kubebuilder, controller-runtime, and client-go.","kubernetes, microsoft azure, gcp, cloud infrastructure, aws, nat, public cloud, python, web services, golang, software quality, microservices, configuration management, java, apache, cassandra, troubleshooting, terraform, software engineering, api, db, ",https://www.naukri.com/job-listings-software-engineer-dbaas-serverless-ibm-india-pvt-limited-bengaluru-4-to-6-years-080925932716
Software Engineer,Ibm,1 - 4 years,Not Disclosed,Bengaluru,"You will work with our customers in developing and modernizing applications that can fully leverage the advanced and new capabilities the IBM zOS Mainframes, interoperate with and extend to the IBM Redhat OCP and other cloud ecosystem. You will work on challenging and interesting initiatives, at the forefront of Mainframe Application Development and Cloud Adoption. Required education None Preferred education Bachelor's Degree Required technical and professional expertise * In depth experience with Java/C# and Java libraries (Spring Framework, Guava, Apache Commons, Guice / Dependency Injection, JPA) * Good SQL / Relational Databases knowledge * MVS / COBOL / JCL knowledge * Practical skills in CI/CD - some of Git, Maven, Gradle, Docker, Jenkins, Jira Preferred technical and professional experience * Knowledge of CASE tools such as HPS/Appbuilder or CA:GEN/IEF","continuous integration, spring, java, jpa, c, css, cicd, jquery, sql, docker, jcl, git, apache, jenkins, dependency injection, software engineering, html, jira, mainframes, maven, mvs, relational databases, javascript, application development, gradle, cobol, guice, ",https://www.naukri.com/job-listings-software-engineer-ibm-india-pvt-limited-bengaluru-1-to-4-years-080925925983
It Software Engineer,Applied Materials,2 - 7 years,Not Disclosed,Bengaluru,"Roles and Responsibility Build up and develop IT infrastructure for our testing systems based on Linux platform. Including heterogenous platforms and components such as real-time computer systems, sensor systems, network switches and components. Generate operating system images which are to be installed on those systems. Handle licensing requirements for internal and external customer. Background knowledge in C/C++ environment including build tools which are to be installed and running on those computer systems. Documentation within Office tools. Our Ideal Candidate At least 2+ years of experience in the Linux operating system, how to setup and maintain such systems. Some experience in C / C++ and build mechanism. Understanding of SW development cycle, from requirements to testing, integration, documentation and delivery. Good interpersonal and communication skills. Good system vision and understanding. Qualifications BTech / MTech in Electronics / Computer Science or related stream with over all experience of 2 - 5 years of relevant work experience Additional Qualifications: Experience with Qt framework Experience with real time embedded OS Experience in multi processors systems Employment experience in a global company Experience in development under Linux and Windows OS Applied Materials is committed to diversity in its workforce including Equal Employment Opportunity for Minorities, Females, Protected Veterans and Individuals with Disabilities. Additional Information Time Type: Full time Employee Type: Assignee / Regular Travel: Yes, 10% of the Time Relocation Eligible: Yes","embedded firmware, c, linux, qt, windows os, device drivers, rs, iot, rtos, embedded systems, debugging, software engineering, data structures, ic, can bus, firmware, arm, eeprom, adc, python, spi, autosar, microcontroller, embedded c, uart, ",https://www.naukri.com/job-listings-it-software-engineer-applied-materials-india-private-limited-bengaluru-2-to-7-years-110925935118
Software Engineer  Food,Cargill,3 - 8 years,Not Disclosed,Bengaluru,"Job Purpose and Impact The Professional, Software Engineering job maintains and partners to design and develop software applications and systems. With limited supervision, this job collaborates with cross functional teams to implement new software features to meet user needs and business goals and upgrade existing software to improve performance and functionality through writing clean, efficient and scalable code and troubleshooting and debugging moderately complex issues. This job also participates in code reviews to maintain high code quality and share knowledge with software engineering team members. Key Accountabilities SOFTWARE DEVELOPMENT: Partners to design and develop high quality software solutions by writing clean, maintainable and efficient codes. AUTOMATION: Applies internal software deployment platform, methodologies and tools to automate the deployment process, ensuring smooth and reliable releases. COLLABORATION: Partners with cross functional team of product managers, designers and other engineers to gather moderately complex requirements and deliver solutions that meet business needs. TESTING & DEBUGGING: Writes and maintains moderately complex unit tests and integration tests, and performs debugging to maintain the quality and performance of the software. CONTINUOUS IMPROVEMENT: Makes suggestions for improving the software development and deployment processes, and implements the approved standards to improve efficiency and reliability. DOCUMENTATION: Drafts and maintains comprehensive documentation for moderately complex software applications, deployment processes and system configurations. TECHNICAL SUPPORT: Provides technical support and troubleshooting for moderately complex issues with deployed applications to ensure minimal downtime and fast resolution. Qualifications Minimum requirement of 3 years of relevant work experience. Typically reflects 5 years or more of relevant experience. Proven work experience as a Python Back-end developer, microservice architecture, Database scaling, caching, etc. Teamwork skills with a problem-solving attitude. Self-motivated attitude, and likes to stay current with new and evolving technologies Hands-on experience with building APIs using fast API, flask, or any other python library or framework Good knowledge of DS/Algo, System Design, and design principles Excellent analytical and keen to learn business acumen while developing product Good to have knowledge of React or any other Frontend framework, basic knowledge of AWS or Azure cloud","automation, analytical, debugging, system design, deployment, troubleshooting, continuous improvement, application software, technical support, python, ",https://www.naukri.com/job-listings-software-engineer-food-cargill-india-pvt-ltd-bengaluru-3-to-8-years-110925501941
Software Engineer  Ag  Trading,Cargill,3 - 6 years,Not Disclosed,Bengaluru,"Job Purpose and Impact The Software Engineer will participate in the design and development of new and existing digital solutions for the digital portfolio. In this role, you will be a member of an agile engineering team and will discover and deliver solutions to moderately complex problems to enable the companys digital future. You will apply deep knowledge of software engineering and security practices to ensure solutions are scalable, resilient and robust. You will also contribute knowledge and hands on experience with modern practices and technologies to the shared engineering community. Key Accountabilities Demonstrate accountability by ensuring timely and high-quality project delivery. Be result driven, consistently achieving measurable outcomes and meeting goals. Act as a team player, collaborating effectively with cross-functional teams. Exhibit a can-do mentality, tackling challenges with a proactive and positive approach. Apply software engineering patterns and principles to design, develop, test, integrate, maintain, troubleshoot and document complex software solutions and incorporate security practices in newly developed and maintained applications. Participate in peer code review sessions both as a submitter and as a reviewer to ensure code quality. Incorporate the companys engineering and development practices within software development life cycle processes. Apply development and operation engineering principles to continuously integrate, test and deploy developed code. Participate in the engineering community by maintaining and sharing relevant technical approaches and modern skills. Independently solve moderately complex issues with minimal supervision, while escalating more complex issues to appropriate staff. Other duties as assigned. Qualifications Minimum Qualifications: Bachelor s degree in computer science or equivalent experience, Confirmed experience building back end applications based on popular design patterns. Proficiency in .NET Core. Experience with DevOps practices and tools such as Docker and CI/CD pipelines. Knowledge of SQL Server and / or PostgreSQL for database design and management. Experience with cloud platforms such as Azure, AWS, or GCP. Minimum of two years experience in software development using .NET technologies. Preferred Qualification: Familiarity with front-end technologies like HTML, CSS, JavaScript, and frameworks such as Angular, React, or Vue.js. Experience in trading and commodity business Hands-on experience with Kubernetes for container orchestration and management. Understanding of microservices architecture and deployment strategies using Kubernetes. Proficiency in .NET Framework. Proficiency in Windows Presentation Foundation (WPF). Experience in integrating and utilizing AI models (e.g. in software solutions). Understanding of ethical considerations and best practices in AI development","computer science, front end, orchestration, database design, postgresql, agile, html, wpf, project delivery, sql, ",https://www.naukri.com/job-listings-software-engineer-ag-trading-cargill-india-pvt-ltd-bengaluru-3-to-6-years-110925501857
Ai  Software Engineer,Baker Hughes,2 - 6 years,Not Disclosed,MumbaiHyderabadPuneGurugramBengaluru,"AI & Software Engineer Are you passionate about Software Development and DevOps practices Do you enjoy collaborating with teams to solve complex problems Join our Artificial Intelligence & Development team Our team provides industry-leading products and services that optimize the production and processing of energy. You will contribute to our future as an AI player in the Energy Transformation industry. We implement and adapt AI algorithms across a broad variety of projects. These include document understanding, predictive maintenance, defect detection by computer vision, control, robotics. Our team is responsible for production ready codes in Cloud and Edge environments! Partner with the best You will be instrumental in our mission to make energy safer, cleaner and more efficient through intelligent technologies. If you have Software Development and DevOps knowledge, we would like to hear from you. As an AI & Software Engineer, you will be responsible for: Developing and integrate software components for AI applications Developing and testing software components according to customer and technical requirements Integrating, verifying, and validating AI software applications and tools Supporting scale-up and deployment of AI applications Checking availability and relevance of internal and external data sources Proposing, and leading new data collection activities. Cleaning and validating data Fuel your passion To be successful in this role you will: Have experience in software programming languages including Python, Java, C++ with 2-6 years of relevant experience Have an expertise in Software Development and DevOps Process such as MLOps, CI/CD, GitHub, AngularJS Demonstrate experience in containerization, microservices and cloud-based design Demonstrate understanding of architecture and infrastructure design Have knowledge of Machine Learning algorithms and AI tools such as Computer Vision, NLP, RPA. Demonstrate understanding of Web Services protocols such as REST, SOAP and API design for extensibility and portability Demonstrate knowledge in databases, Test Driven Development and Agile Development methods Work in a way that works for you We recognize that everyone is different and that the way in which people want to work and deliver at their best is different for everyone too. In this role, we can offer the following flexible working patterns: Occasionally working remotely from home or any other work location Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive Working with us Our people are at the heart of what we do at Baker Hughes. We know we are better when all of our people are developed, engaged and able to bring their whole authentic selves to work. We invest in the health and well-being of our workforce, train and reward talent and develop leaders at all levels to bring out the best in each other. Working for you Our inventions have revolutionized energy for over a century. But to keep going forward tomorrow, we know we have to push the boundaries today. We prioritize rewarding those who embrace change with a package that reflects how much we value their input. Join us, and you can expect: Contemporary work-life balance policies and wellbeing activities Comprehensive private medical care options Safety net of life insurance and disability programs Tailored financial programs Additional elected or voluntary benefits","computer vision, c, artificial intelligence, devops, machine learning, data collection, test driven development, robotics, python, predictive maintenance, ",https://www.naukri.com/job-listings-ai-software-engineer-baker-hughes-the-network-mumbai-hyderabad-pune-gurugram-bengaluru-2-to-6-years-110925501200
Software Engineer,Optum,5 - 10 years,Not Disclosed,Bengaluru,"DevOps, Azure, Terraform, Java to join our dynamic team. As a Developer, you will be responsible for deploying, developing, and maintaining scalable and high-performance web applications. You will work closely with cross-functional teams to deliver innovative solutions that meet business requirements and provide excellent user experiences. If you are passionate about DevOps, technology, have a solid command of backend, and thrive in a collaborative environment, we would love to hear from you. Primary Responsibilities: DevOps and Deployment (Priority Focus on Azure DevOps): Utilize Azure DevOps to create, manage, and optimize CI/CD pipelines for automated testing and deployment Leverage Terraform to define and provision infrastructure as code (IaC) for consistent, repeatable, and scalable cloud infrastructure deployment Implement best practices for cloud-based application deployment, monitoring, and scaling using Azure Backend Development: Design and implement RESTful APIs and microservices using Java/Python/Node.js Ensure secure and efficient data transactions between the server and client. Integrate third-party APIs and services as needed Database Management: Work with relational and non-relational databases (e.g., MSSQL, PostgreSQL, MongoDB) Write efficient and optimized database queries Collaboration: Work closely with designers, product managers, and other developers to translate requirements into technical solutions Participate in code reviews, technical discussions, and team meetings Problem Solving: Debug and resolve technical issues across DevOps processes and the application stack Identify bottlenecks and performance issues, and recommend solutions Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to, transfer and/or re-assignment to different work locations, change in teams and/or work shifts, policies in regard to flexibility of work benefits and/or work environment, alternative work arrangements, and other decisions that may arise due to the changing business environment). The Company may adopt, vary or rescind these policies and directives in its absolute discretion and without any limitation (implied or otherwise) on its ability to do so Required Qualifications: Bachelor's degree in Computer Science, Software Engineering, or a related field 5+ years of professional experience in DevOps and cloud-based application development with a focus on Azure, DevOps, Java Technical Skills: Advanced experience with Azure DevOps, including pipeline optimization and advanced deployment strategies Hands-on experience with Terraform for infrastructure as code (IaC), enabling automated provisioning and management of cloud resources Experience with containerization tools like Docker and orchestration tools like Kubernetes Experience with version control systems (e.g., Git) Solid expertise in Azure DevOps, including CI/CD pipeline creation, repository management, and deployment automation Proficiency in Azure cloud services and tools Solid proficiency in Java (Spring Framework/Spring Boot) Familiarity with RESTful API design and integration Knowledge of database systems (relational and NoSQL). Soft Skills: Solid analytical and problem-solving skills Excellent communication and collaboration abilities Ability to work in an Agile development environment Preferred Qualifications: Experience working with Large Language Models (LLMs) Hands-on experience with OpenAI's GPT or similar models Hands-on experience with React.js and modern frontend development practices Familiarity with AI tools and frameworks Proficiency in HTML, CSS, JavaScript, and ES6+ Proficiency in Node.js and its frameworks (e.g., Express.js) Knowledge of GraphQL APIs Experience with testing frameworks like Jest, Mocha, or JUnit Understanding of WebSockets and real-time communication","css, java, html, javascript, node, azure cloud services, kubernetes, mocha, azure devops, microservices, docker, spring, reactjs, git, postgresql, devops, websocket, mongodb, rest, python, junit, microsoft azure, jest, sql server, nosql, spring boot, nodejs, terraform, ",https://www.naukri.com/job-listings-software-engineer-optum-global-solutions-india-private-limited-bengaluru-5-to-10-years-100925941016
Software Engineer,Qualcomm,3 - 6 years,Not Disclosed,HyderabadChennaiBengaluru,"General Summary: Job Area : Engineering - Software Job Location : Hyderabad / Bangalore / Chennai / Noida We know our employees ideas change the world. For more than three decades, weve been a global leader in mobile technology, continually pushing the boundaries of whats possible. Working with customers across industries from automotive to health care, from smart cities to robotics we continue to accelerate innovation and unlock new possibilities in a time where everything is connected. By joining the Qualcomm family, you too can bring the future forward faster. As a software engineer, you will design, develop Software for Qualcomms mobile chipsets which are based on cutting edge technology. Qualcomm is looking for energetic, creative and self-driven engineer to work in Multimedia Technologies such as Audio and Video codecs, Image Processing, Wireless Modem Technologies, such as 4G, WiFi, Bluetooth, Self-Organizing Networks. Platform Level SW, such as, Linux, Android, Windows, Board Support Packages. IOT Technologies, for Connected Cameras, Smart Assistants, Drones, Virtual Reality, Augmented Reality. Campus Grads will be working on following areas: Development of real-time embedded software and device drivers Mobile SW development for Windows Mobile, Android or Linux Good understanding of OS concepts, Data structures, etc C/C++ and object oriented design Wireless network standards such as CDMA/GSM/UMTS/LTE Linux/UNIX, Linux Drivers, Linux Kernel Development Protocols such TCP/UDP/IP/SIP/RTP etc Multimedia technologies including Audio, Video, Imaging Excellent analytical and problem solving skills Ability to collaborate and work in teams. Good verbal and written communication skill Opportunities include: SW development for Android, Window Mobile based Embedded Platforms Multimedia software stack, firmware and driver Development Wireless Modem and connectivity Software and Firmware Development Communication protocol stack Software Development Kernel, BSP and Device Driver Development Application SW and UI development. SW Architecture for embedded devices based on Android, Windows. Design and development based on Object oriented programming. Minimum Qualifications: Bachelor's degree in Engineering, Information Systems, Computer Science, or related field. Education: Masters, Bachelors: Computer Science Engineering, Communication Engineering, ECE","udp, linux, lte, tcp, ip, gsm, protocol stack, c, device drivers, android, linux driver, software engineering, data structures, sip, cdma, object oriented programming, firmware, umts, software development, kernel, linux kernel, rtp, embedded software, bluetooth, unix, ",https://www.naukri.com/job-listings-software-engineer-qualcomm-india-pvt-ltd-hyderabad-chennai-bengaluru-3-to-6-years-090925925219
Software Engineer  Revolving Credit,Visa,5 - 10 years,Not Disclosed,Bengaluru,"- Design and deliver end-to-end, scalable and high-performance solutions addressing business needs, since the architectural decision to production deployment and monitoring. - Guide the team through technical decisions, collaborating with team to translate complex business challenges, then, propose effective solutions. - Drive the reliability and quality of our services by ensuring comprehensive documentation, rigorous testing, robust monitoring, and proactive resolution of production issues. - Solve challenging problems related to concurrency, system availability, real-time event processing, resilience, and cost optimization. - Participate in on-call rotations, contributing to the stability and performance of mission-critical system. This is a remote position. A remote position does not require job duties be performed within proximity of a Visa office location. Remote positions may be required to be present at a Visa office with scheduled notice. Basic Qualifications: 5+ years of relevant work experience with a Bachelor s Degree or at least 2 years of work experience with an Advanced degree (e.g. Masters, MBA, JD, MD) or 0 years of work experience with a PhD, OR 8+ years of relevant work experience. Preferred Qualifications: - Proven experience in building and maintaining high-availability and hight throughput Java services in production environments. - Expertise in event-driven architecture using solution like Kafka, AWS SQS/SNS, RabbitMQ and AWS Kinesis. - Strong background in microservices architecture. - Worked with both relational (MySQL, PostgreSQL) and non-relational (DynamoDB, MongoDB) databases. - Experience with Infrastructure and Code using tools like Terraform, AWS CloudFormation","architecture, postgresql, mysql, mongodb, cost optimization, aws, monitoring, microservices, ",https://www.naukri.com/job-listings-software-engineer-revolving-credit-visa-inc-bengaluru-5-to-10-years-100925504025
